"","year","region","corruption","terror","boko","other","lgdp","lnight","dterror","dboko","dother","irrelevant","jrpartner","srpartner"
"1",2009,"Abia",1.48711001666667,0,0,0,2.85492951018754,1.47450851448393,0,0,0,0,0,0.865
"2",2009,"Adamawa",1.58717221133333,0,0,0,4.75024397549049,0.125654639796701,0,0,0,0,0.194,0
"3",2009,"Akwa-Ibom",1.89906062233333,3,0,0,3.34246199151903,1.5988490477616,1,0,0,0,0,0.865
"4",2009,"Anambra",2.09412533266667,0,0,0,2.68405417012586,1.66016942905407,0,0,0,0,0,0.865
"5",2009,"Bauchi",1.61992737833333,0,0,0,5.18389631178271,0.0802719706215474,0,0,0,0,0.097,0
"6",2009,"Bayelsa",2.03740201566667,10,0,32,3.66878292916907,2.33962149920801,1,0,1,0,0,1.73
"7",2009,"Benue",1.559139909,0,0,0,4.75024397549049,0.167940899019359,0,0,0,0,0.291,0.865
"8",2009,"Borno",1.64803466033333,7,63,0,5.56161401044547,0.103188608774691,1,1,0,0.04,0.194,0.865
"9",2009,"Cross-River",2.14338073166667,0,0,0,4.31320503932191,0.267394744207073,0,0,0,0,0.097,0.865
"10",2009,"Delta",1.56191859466667,11,0,30,4.11144931512702,2.26933736201378,1,0,1,0,0,1.73
"11",2009,"Ebonyi",1.588425926,0,0,0,3.12811707334211,0.246058272196203,0,0,0,0,0,0.865
"12",2009,"Edo",1.85574918633333,1,0,6,4.31320503932191,0.805625057603651,1,0,1,0,0.097,1.73
"13",2009,"Ekiti",1.63204365066667,0,0,0,2.85492951018754,0.433500614801608,0,0,0,0,0,0
"14",2009,"Enugu",2.063888889,0,0,0,3.24102153989109,0.846051512589792,0,0,0,0,0,0.865
"15",2009,"Federal Capital Territory",2.42013888866667,0,0,0,3.12811707334211,1.59219062946286,0,0,0,0,0.097,0
"16",2009,"Gombe",1.72716777566667,0,0,0,4.23731466988387,0.198207619124025,0,0,0,0,0.097,0
"17",2009,"Imo",1.91041174166667,0,0,0,2.85492951018754,2.46120548305272,0,0,0,0,0,1.73
"18",2009,"Jigawa",1.49857549833333,0,0,0,4.38374008949638,0.0936317174286707,0,0,0,0,0.097,0.865
"19",2009,"Kaduna",1.65833333333333,1,0,7,5.0876164368822,0.352579248015164,1,0,1,0,0.097,0
"20",2009,"Kano",2.05783103366667,0,0,0,4.38374008949638,0.614870021720743,0,0,0,0,0.097,0
"21",2009,"Katsina",1.64076229433333,0,0,0,4.38374008949638,0.228200184965695,0,0,0,0,0.097,0.865
"22",2009,"Kebbi",1.83791848733333,0,0,0,4.86180136692407,0.105789173770808,0,0,0,0,0.194,1.73
"23",2009,"Kogi",1.95730994166667,0,0,0,4.67680113442144,0.218330788528479,0,0,0,0,0.097,0.865
"24",2009,"Kwara",1.767877493,0,0,0,4.88269358489987,0.222693930249806,0,0,0,0,0.097,0.865
"25",2009,"Lagos",1.81175466833333,1,0,3,2.2177465825283,2.82868782520803,1,0,1,0,0.097,0.865
"26",2009,"Nassarawa",1.54733681066667,0,0,0,4.56965084108,0.234292529838778,0,0,0,0,0.194,0
"27",2009,"Niger",1.551754672,0,0,0,5.55107277889032,0.147917292572596,0,0,0,0,0.097,0.865
"28",2009,"Ogun",1.62214841633333,0,0,0,4.11144931512702,1.22334739885269,0,0,0,0,0.097,0.865
"29",2009,"Ondo",1.63124563233333,0,0,0,3.96742944966521,0.748932819241764,0,0,0,0,0,0.865
"30",2009,"Osun",1.890837494,0,0,0,3.43455337643762,0.830941971970425,0,0,0,0,0,0
"31",2009,"Oyo",1.950680119,1,0,2,4.56965084108,0.554721430082652,1,0,1,0,0.097,0.865
"32",2009,"Plateau",2.046296296,0,0,0,4.56965084108,0.204915708993018,0,0,0,0,0.194,0
"33",2009,"Rivers",2.036569131,11,0,33,3.43455337643762,2.82291401701685,1,0,1,0,0.097,1.73
"34",2009,"Sokoto",1.63461538466667,0,0,0,4.75024397549049,0.247637275834977,0,0,0,0,0.097,0.865
"35",2009,"Taraba",1.435118635,0,0,0,5.36528307826765,0.0475039182620988,0,0,0,0,0.388,0
"36",2009,"Yobe",1.57142857133333,0,0,0,5.07062842432855,0.0540586043910453,0,0,0,0.04,0.097,1.73
"37",2009,"Zamfara",1.22162841666667,0,0,0,4.86180136692407,0.0632588433240677,0,0,0,0,0.097,0
"38",2010,"Abia",1.48711001666667,4,0,10,2.92621228495093,1.87438990277217,1,0,1,0,0,0.865
"39",2010,"Adamawa",1.58717221133333,0,0,0,4.82509101470584,0.225860337506265,0,0,0,0,0.194,0
"40",2010,"Akwa-Ibom",1.89906062233333,4,0,0,3.41536486589671,2.00940352600564,1,0,0,0,0,0.865
"41",2010,"Anambra",2.09412533266667,0,0,0,2.75455361169015,2.10579314324036,0,0,0,0,0,0.865
"42",2010,"Bauchi",1.61992737833333,2,9,0,5.25896471961188,0.181353171393463,1,1,0,0,0.097,0
"43",2010,"Bayelsa",2.03740201566667,8,0,19,3.74240290762195,2.76444502718692,1,0,1,0,0,1.73
"44",2010,"Benue",1.559139909,0,0,0,4.82509101470584,0.45153672322657,0,0,0,0,0.291,0.865
"45",2010,"Borno",1.64803466033333,17,23,7,5.63681066943821,0.173066359279615,1,1,1,0.04,0.194,0.865
"46",2010,"Cross-River",2.14338073166667,0,0,0,4.38770714262025,0.449380680577963,0,0,0,0,0.097,0.865
"47",2010,"Delta",1.56191859466667,11,0,33,4.18573356470376,2.52539418838411,1,0,1,0,0,1.73
"48",2010,"Ebonyi",1.588425926,0,0,0,3.20040384958182,0.638607411545458,0,0,0,0,0,0.865
"49",2010,"Edo",1.85574918633333,5,0,18,4.38770714262025,1.47302305232433,1,0,1,0,0.097,1.73
"50",2010,"Ekiti",1.63204365066667,0,0,0,2.92621228495093,0.640356344363558,0,0,0,0,0,0
"51",2010,"Enugu",2.063888889,0,0,0,3.3136493006727,1.38709429109058,0,0,0,0,0,0.865
"52",2010,"Federal Capital Territory",2.42013888866667,3,0,0,3.20040384958182,1.95174452450964,1,0,0,0,0.097,0
"53",2010,"Gombe",1.72716777566667,0,0,0,4.31173994308041,0.342986543801891,0,0,0,0,0.097,0
"54",2010,"Imo",1.91041174166667,0,0,0,2.92621228495093,2.66574655392101,0,0,0,0,0,1.73
"55",2010,"Jigawa",1.49857549833333,0,0,0,4.45830855312877,0.336745699226906,0,0,0,0,0.097,0.865
"56",2010,"Kaduna",1.65833333333333,1,0,2,5.16264363732977,0.666151504202993,1,0,1,0,0.097,0
"57",2010,"Kano",2.05783103366667,0,0,0,4.45830855312877,0.93322729514551,0,0,0,0,0.097,0
"58",2010,"Katsina",1.64076229433333,0,0,0,4.45830855312877,0.546067682560397,0,0,0,0,0.097,0.865
"59",2010,"Kebbi",1.83791848733333,0,0,0,4.93671482261959,0.256069416495922,0,0,0,0,0.194,1.73
"60",2010,"Kogi",1.95730994166667,0,0,0,4.75160022364072,0.453815810649114,0,0,0,0,0.097,0.865
"61",2010,"Kwara",1.767877493,1,0,6,4.95761867634138,0.354301700021865,1,0,1,0,0.097,0.865
"62",2010,"Lagos",1.81175466833333,2,0,11,2.28527766662921,3.03794226436157,1,0,1,0,0.097,0.865
"63",2010,"Nassarawa",1.54733681066667,1,0,0,4.64437333648715,0.418969906429727,1,0,0,0,0.194,0
"64",2010,"Niger",1.551754672,0,0,0,5.62626647680007,0.327230664539197,0,0,0,0,0.097,0.865
"65",2010,"Ogun",1.62214841633333,1,0,1,4.18573356470376,1.55863754916762,1,0,1,0,0.097,0.865
"66",2010,"Ondo",1.63124563233333,0,0,0,4.04152895461582,0.928098346807954,0,0,0,0,0,0.865
"67",2010,"Osun",1.890837494,0,0,0,3.50768289986724,1.16051170543122,0,0,0,0,0,0
"68",2010,"Oyo",1.950680119,0,0,0,4.64437333648715,0.74599339354501,0,0,0,0,0.097,0.865
"69",2010,"Plateau",2.046296296,8,6,21,4.64437333648715,0.372433798351773,1,1,1,0,0.194,0
"70",2010,"Rivers",2.036569131,12,0,44,3.50768289986724,3.14066171096422,1,0,1,0,0.097,1.73
"71",2010,"Sokoto",1.63461538466667,0,0,0,4.82509101470584,0.492592994976921,0,0,0,0,0.097,0.865
"72",2010,"Taraba",1.435118635,0,0,0,5.44041911986414,0.239662046649652,0,0,0,0,0.388,0
"73",2010,"Yobe",1.57142857133333,0,0,0,5.14564793230135,0.129721795314723,0,0,0,0.04,0.097,1.73
"74",2010,"Zamfara",1.22162841666667,0,0,0,4.93671482261959,0.441099076061595,0,0,0,0,0.097,0
"75",2011,"Abia",2.214824879,0,0,0,2.97142868287228,1.61095795658142,0,0,0,0,0,0.865
"76",2011,"Adamawa",1.703925335,3,2,5,4.87243405009755,0.199711963298035,1,1,1,0,0.194,0
"77",2011,"Akwa-Ibom",1.53648493233333,1,0,0,3.46154940507212,1.86941394272389,1,0,0,0,0,0.865
"78",2011,"Anambra",1.77562371866667,0,0,0,2.79930100489842,1.86276065603242,0,0,0,0,0,0.865
"79",2011,"Bauchi",1.87758650666667,8,9,9,5.30643943655633,0.160605289656459,1,1,1,0,0.097,0
"80",2011,"Bayelsa",1.815954416,6,0,13,3.7890151758766,2.54529751879618,1,0,1,0,0,1.73
"81",2011,"Benue",1.84375,0,2,0,4.87243405009755,0.256528654986909,0,1,0,0,0.291,0.865
"82",2011,"Borno",1.92618987,113,191,23,5.6843616558019,0.132510584276925,1,1,1,0.04,0.194,0.865
"83",2011,"Cross-River",1.748738594,0,0,0,4.43484489788644,0.352843282490871,0,0,0,0,0.097,0.865
"84",2011,"Delta",1.862524942,4,3,9,4.23274161196074,2.4210736574842,1,1,1,0,0,1.73
"85",2011,"Ebonyi",1.77916666666667,0,0,0,3.24622051524784,0.43266021286767,0,0,0,0,0,0.865
"86",2011,"Edo",1.66116722766667,0,0,0,4.43484489788644,1.3999940898314,0,0,0,0,0.097,1.73
"87",2011,"Ekiti",1.74964346966667,0,0,0,2.97142868287228,0.691602538213952,0,0,0,0,0,0
"88",2011,"Enugu",1.76060606033333,2,0,4,3.35966961383695,1.18223964074318,1,0,1,0,0,0.865
"89",2011,"Federal Capital Territory",1.613888889,5,0,0,3.24622051524784,1.86061895404162,1,0,0,0,0.097,0
"90",2011,"Gombe",1.861111111,2,2,0,4.35883195945244,0.316610141842592,1,1,0,0,0.097,0
"91",2011,"Imo",2.10403625466667,0,0,0,2.97142868287228,2.49510529964244,0,0,0,0,0,1.73
"92",2011,"Jigawa",1.73411320566667,0,0,0,4.50548580975032,0.327080125648618,0,0,0,0,0.097,0.865
"93",2011,"Kaduna",1.61916371166667,6,12,5,5.21009384520819,0.590522917945,1,1,1,0,0.097,0
"94",2011,"Kano",1.660493827,0,0,0,4.50548580975032,0.897006786039486,0,0,0,0,0.097,0
"95",2011,"Katsina",1.630050505,2,0,3,4.50548580975032,0.479165654418105,1,0,1,0,0.097,0.865
"96",2011,"Kebbi",1.85902483233333,1,0,6,4.98409737044955,0.180829861436104,1,0,1,0,0.194,1.73
"97",2011,"Kogi",1.90972222233333,0,0,0,4.79891472802118,0.37771336614926,0,0,0,0,0.097,0.865
"98",2011,"Kwara",1.80416666666667,1,0,2,5.00500814535011,0.340125626287209,1,0,1,0,0.097,0.865
"99",2011,"Lagos",1.794384058,0,0,0,2.32824247263235,2.97382965281426,0,0,0,0,0.097,0.865
"100",2011,"Nassarawa",1.61447132633333,0,0,0,4.69164226458248,0.38965254590431,0,0,0,0,0.194,0
"101",2011,"Niger",1.60129715,4,2,9,5.67381570226282,0.264416081128196,1,1,1,0,0.097,0.865
"102",2011,"Ogun",1.76851851833333,0,0,0,4.23274161196074,1.40799934445552,0,0,0,0,0.097,0.865
"103",2011,"Ondo",1.70396345066667,0,0,0,4.08842697143428,0.841679248364478,0,0,0,0,0,0.865
"104",2011,"Osun",1.79558202833333,2,0,2,3.55400268029844,1.08631734803096,1,0,1,0,0,0
"105",2011,"Oyo",1.71800505566667,0,0,0,4.69164226458248,0.686675786183571,0,0,0,0,0.097,0.865
"106",2011,"Plateau",1.72800925966667,28,27,37,4.69164226458248,0.321096127820444,1,1,1,0,0.194,0
"107",2011,"Rivers",1.748392282,1,0,6,3.55400268029844,2.94331677077872,1,0,1,0,0.097,1.73
"108",2011,"Sokoto",1.68253968233333,1,0,2,4.87243405009755,0.388099325293252,1,0,1,0,0.097,0.865
"109",2011,"Taraba",1.548611111,0,0,0,5.48793405942856,0.118301212490687,0,0,0,0,0.388,0
"110",2011,"Yobe",1.91666666666667,17,51,3,5.19309356543324,0.111217977186166,1,1,1,0.04,0.097,1.73
"111",2011,"Zamfara",1.89930555533333,0,0,0,4.98409737044955,0.307764440028764,0,0,0,0,0.097,0
"112",2012,"Abia",2.214824879,0,0,0,3.01122662964164,1.74204825602316,0,0,0,0,0,0.865
"113",2012,"Adamawa",1.703925335,29,66,28,4.91402234959572,0.168406692553454,1,1,1,0,0.194,0
"114",2012,"Akwa-Ibom",1.53648493233333,1,0,0,3.50216327138126,2.05686599589626,1,0,0,0,0,0.865
"115",2012,"Anambra",1.77562371866667,4,0,20,2.83870316502277,1.89205839663345,1,0,1,0,0,0.865
"116",2012,"Bauchi",1.87758650666667,29,40,39,5.34813836493955,0.146196241283809,1,1,1,0,0.097,0
"117",2012,"Bayelsa",1.815954416,8,0,39,3.82998905516299,2.51304048903177,1,0,1,0,0,1.73
"118",2012,"Benue",1.84375,1,0,6,4.91402234959572,0.346955452340133,1,0,1,0,0.291,0.865
"119",2012,"Borno",1.92618987,189,597,67,5.72612464745108,0.0902181190586136,1,1,1,0.04,0.194,0.865
"120",2012,"Cross-River",1.748738594,0,0,0,4.47626068395286,0.421847054940848,0,0,0,0,0.097,0.865
"121",2012,"Delta",1.862524942,5,0,32,4.27404836025674,2.53892676468563,1,0,1,0,0,1.73
"122",2012,"Ebonyi",1.77916666666667,0,0,0,3.28652452039529,0.56392597144882,0,0,0,0,0,0.865
"123",2012,"Edo",1.66116722766667,4,0,18,4.47626068395286,1.60985022742059,1,0,1,0,0.097,1.73
"124",2012,"Ekiti",1.74964346966667,0,0,0,3.01122662964164,0.514643884920193,0,0,0,0,0,0
"125",2012,"Enugu",1.76060606033333,2,0,7,3.40014517762292,1.29553642909506,1,0,1,0,0,0.865
"126",2012,"Federal Capital Territory",1.613888889,7,0,0,3.28652452039529,1.94581128702577,1,0,0,0,0.097,0
"127",2012,"Gombe",1.861111111,22,39,18,4.40020929869958,0.291123942415837,1,1,1,0,0.097,0
"128",2012,"Imo",2.10403625466667,1,3,0,3.01122662964164,2.503900943935,1,1,0,0,0,1.73
"129",2012,"Jigawa",1.73411320566667,2,2,0,4.54693479724233,0.310331086120474,1,1,0,0,0.097,0.865
"130",2012,"Kaduna",1.61916371166667,35,60,37,5.2517721846441,0.5866922328965,1,1,1,0,0.097,0
"131",2012,"Kano",1.660493827,93,183,73,4.54693479724233,0.834892806307545,1,1,1,0,0.097,0
"132",2012,"Katsina",1.630050505,2,0,8,4.54693479724233,0.438257188993122,1,0,1,0,0.097,0.865
"133",2012,"Kebbi",1.85902483233333,0,0,0,5.02571886886442,0.161402521546262,0,0,0,0,0.194,1.73
"134",2012,"Kogi",1.90972222233333,6,8,11,4.84047905563475,0.372250148260567,1,1,1,0,0.097,0.865
"135",2012,"Kwara",1.80416666666667,1,0,6,5.04663545889771,0.30183206247741,1,0,1,0,0.097,0.865
"136",2012,"Lagos",1.794384058,1,0,1,2.36613720547802,2.96828142302032,1,0,1,0,0.097,0.865
"137",2012,"Nassarawa",1.61447132633333,3,0,0,4.73316829368822,0.438415563190393,1,0,0,0,0.194,0
"138",2012,"Niger",1.60129715,7,10,8,5.71557721476153,0.246052095351497,1,1,1,0,0.097,0.865
"139",2012,"Ogun",1.76851851833333,1,0,1,4.27404836025674,1.48775784319671,1,0,1,0,0.097,0.865
"140",2012,"Ondo",1.70396345066667,0,0,0,4.12964120309149,0.839455906772448,0,0,0,0,0,0.865
"141",2012,"Osun",1.79558202833333,0,0,0,3.59473040800789,1.05927876915243,0,0,0,0,0,0
"142",2012,"Oyo",1.71800505566667,0,0,0,4.73316829368822,0.685786003453516,0,0,0,0,0.097,0.865
"143",2012,"Plateau",1.72800925966667,31,22,53,4.73316829368822,0.346674091709381,1,1,1,0,0.194,0
"144",2012,"Rivers",1.748392282,8,0,35,3.59473040800789,2.9520441965738,1,0,1,0,0.097,1.73
"145",2012,"Sokoto",1.68253968233333,5,9,5,4.91402234959572,0.372017384471441,1,1,1,0,0.097,0.865
"146",2012,"Taraba",1.548611111,6,5,15,5.52966677434104,0.110624048930381,1,1,1,0,0.388,0
"147",2012,"Yobe",1.91666666666667,100,305,74,5.23476806157478,0.0684493357981882,1,1,1,0.04,0.097,1.73
"148",2012,"Zamfara",1.89930555533333,2,6,2,5.02571886886442,0.271766844418583,1,1,1,0,0.097,0
"149",2013,"Abia",2.214824879,0,0,0,3.0612431124624,1.8002075171035,0,0,0,0,0,0.865
"150",2013,"Adamawa",1.703925335,10,21,4,4.96618591885591,0.182831843242343,1,1,1,0,0.194,0
"151",2013,"Akwa-Ibom",1.53648493233333,1,0,0,3.55315929646133,1.96994107936761,1,0,0,0,0,0.865
"152",2013,"Anambra",1.77562371866667,1,0,1,2.88824385663037,1.98606806026391,1,0,1,0,0,0.865
"153",2013,"Bauchi",1.87758650666667,5,6,13,5.40043432982259,0.147601049175725,1,1,1,0,0.097,0
"154",2013,"Bayelsa",1.815954416,7,0,44,3.88141673145959,2.37145506359566,1,0,1,0,0,1.73
"155",2013,"Benue",1.84375,7,0,17,4.96618591885591,0.317502951998553,1,0,1,0,0.291,0.865
"156",2013,"Borno",1.92618987,145,389,40,5.77849726492047,0.0934526465662694,1,1,1,0.04,0.194,0.865
"157",2013,"Cross-River",1.748738594,2,0,0,4.52821773424307,0.393792244546991,1,0,0,0,0.097,0.865
"158",2013,"Delta",1.862524942,6,0,20,4.32587483856838,2.50051503602319,1,0,1,0,0,1.73
"159",2013,"Ebonyi",1.77916666666667,0,0,0,3.33714875295214,0.565488736931105,0,0,0,0,0,0.865
"160",2013,"Edo",1.66116722766667,7,0,37,4.52821773424307,1.60353512521346,1,0,1,0,0.097,1.73
"161",2013,"Ekiti",1.74964346966667,1,0,1,3.0612431124624,0.733807241969742,1,0,1,0,0,0
"162",2013,"Enugu",1.76060606033333,3,0,10,3.45097528959809,1.31265697053299,1,0,1,0,0,0.865
"163",2013,"Federal Capital Territory",1.613888889,4,0,0,3.33714875295214,1.98294509604034,1,0,0,0,0.097,0
"164",2013,"Gombe",1.861111111,7,12,2,4.45212031266763,0.334745174679359,1,1,1,0,0.097,0
"165",2013,"Imo",2.10403625466667,1,0,1,3.0612431124624,2.44462877803943,1,0,1,0,0,1.73
"166",2013,"Jigawa",1.73411320566667,3,12,0,4.59893159951204,0.429051417914306,1,1,0,0,0.097,0.865
"167",2013,"Kaduna",1.61916371166667,17,25,11,5.3040435123382,0.600292199287534,1,1,1,0,0.097,0
"168",2013,"Kano",1.660493827,24,45,16,4.59893159951204,0.862366189313677,1,1,1,0,0.097,0
"169",2013,"Katsina",1.630050505,9,18,2,4.59893159951204,0.445144690323907,1,1,1,0,0.097,0.865
"170",2013,"Kebbi",1.85902483233333,0,0,0,5.07792217191429,0.173898683782871,0,0,0,0,0.194,1.73
"171",2013,"Kogi",1.90972222233333,4,0,18,4.89261393229245,0.414438988791635,1,0,1,0,0.097,0.865
"172",2013,"Kwara",1.80416666666667,1,0,1,5.09884572171505,0.375103215475841,1,0,1,0,0.097,0.865
"173",2013,"Lagos",1.794384058,3,7,9,2.41386195152917,2.99359248584029,1,1,1,0,0.097,0.865
"174",2013,"Nassarawa",1.61447132633333,3,0,0,4.78525732750111,0.390391604856504,1,0,0,0,0.194,0
"175",2013,"Niger",1.60129715,1,0,2,5.76794806313803,0.285574803719788,1,0,1,0,0.097,0.865
"176",2013,"Ogun",1.76851851833333,0,0,0,4.32587483856838,1.54975287407085,0,0,0,0,0.097,0.865
"177",2013,"Ondo",1.70396345066667,1,2,0,4.18135686894741,0.83789017513242,1,1,0,0,0,0.865
"178",2013,"Osun",1.79558202833333,1,0,1,3.64586298839795,1.18761443276529,1,0,1,0,0,0
"179",2013,"Oyo",1.71800505566667,1,0,1,4.78525732750111,0.769552048541936,1,0,1,0,0.097,0.865
"180",2013,"Plateau",1.72800925966667,24,0,48,4.78525732750111,0.30628662940704,1,0,1,0,0.194,0
"181",2013,"Rivers",1.748392282,8,0,36,3.64586298839795,2.85925253883729,1,0,1,0,0.097,1.73
"182",2013,"Sokoto",1.68253968233333,2,3,0,4.96618591885591,0.425557758702998,1,1,0,0,0.097,0.865
"183",2013,"Taraba",1.548611111,2,6,1,5.58200316678024,0.0921265994038417,1,1,1,0,0.388,0
"184",2013,"Yobe",1.91666666666667,29,78,0,5.28703478997951,0.0710623912196297,1,1,0,0.04,0.097,1.73
"185",2013,"Zamfara",1.89930555533333,0,0,0,5.07792217191429,0.270356319667792,0,0,0,0,0.097,0
